Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2005-05-19 00:00:00-04:00,1185.56005859375,1191.0899658203125,1184.489990234375,1191.0799560546875,1775860000,0.0,0.0
2005-05-20 00:00:00-04:00,1191.0799560546875,1191.219970703125,1185.18994140625,1189.280029296875,1631750000,0.0,0.0
2005-05-23 00:00:00-04:00,1189.280029296875,1197.43994140625,1188.760009765625,1193.8599853515625,1681170000,0.0,0.0
2005-05-24 00:00:00-04:00,1193.8599853515625,1195.2900390625,1189.8699951171875,1194.0699462890625,1681000000,0.0,0.0
2005-05-25 00:00:00-04:00,1194.0699462890625,1194.0699462890625,1185.9599609375,1190.010009765625,1742180000,0.0,0.0
2005-05-26 00:00:00-04:00,1190.010009765625,1198.949951171875,1190.010009765625,1197.6199951171875,1654110000,0.0,0.0
2005-05-27 00:00:00-04:00,1197.6199951171875,1199.56005859375,1195.280029296875,1198.780029296875,1381430000,0.0,0.0
2005-05-31 00:00:00-04:00,1198.780029296875,1198.780029296875,1191.5,1191.5,1840680000,0.0,0.0
2005-06-01 00:00:00-04:00,1191.5,1205.6400146484375,1191.030029296875,1202.219970703125,1810100000,0.0,0.0
2005-06-02 00:00:00-04:00,1202.27001953125,1204.6700439453125,1198.4200439453125,1204.2900390625,1813790000,0.0,0.0
2005-06-03 00:00:00-04:00,1204.2900390625,1205.0899658203125,1194.550048828125,1196.02001953125,1627520000,0.0,0.0
2005-06-06 00:00:00-04:00,1196.02001953125,1198.780029296875,1192.75,1197.510009765625,1547120000,0.0,0.0
2005-06-07 00:00:00-04:00,1197.510009765625,1208.8499755859375,1197.260009765625,1197.260009765625,1851370000,0.0,0.0
2005-06-08 00:00:00-04:00,1197.260009765625,1201.969970703125,1193.3299560546875,1194.6700439453125,1715490000,0.0,0.0
2005-06-09 00:00:00-04:00,1194.6700439453125,1201.8599853515625,1191.0899658203125,1200.9300537109375,1824120000,0.0,0.0
